Date,Forecasted Load,Lower CI,Upper CI
2024-05-22 00:00:00+00:00,226112.81763682576,187628.32566634566,264597.30960730586
2024-05-23 00:00:00+00:00,225828.17445943994,187341.11145684682,264315.23746203305
2024-05-24 00:00:00+00:00,220909.48564627746,182420.47216204987,259398.49913050505
2024-05-25 00:00:00+00:00,191124.6459325044,152634.1527185919,229615.1391464169
2024-05-26 00:00:00+00:00,180263.4482005528,141771.8323800738,218755.0640210318
2024-05-27 00:00:00+00:00,219659.0403197533,181161.53838429548,258156.5422552111
2024-05-28 00:00:00+00:00,225009.58128344442,186507.6142578767,263511.54830901214
2024-05-29 00:00:00+00:00,226112.81764298643,187607.46337862598,264618.17190734687
2024-05-30 00:00:00+00:00,225828.174464806,187320.25056156915,264336.09836804285
2024-05-31 00:00:00+00:00,220909.48565095145,182399.61232291773,259419.35897898517
2024-06-01 00:00:00+00:00,191124.64593657557,152613.2936805537,229635.99819259744
2024-06-02 00:00:00+00:00,180263.44820409888,141750.9739496819,218775.92245851585
2024-06-03 00:00:00+00:00,219659.040322842,181140.68314118544,258177.39750449854
2024-06-04 00:00:00+00:00,225009.58128613475,186486.76143187453,263532.40114039497
2024-06-05 00:00:00+00:00,226112.81764532978,187586.61238583497,264639.0229048246
2024-06-06 00:00:00+00:00,225828.17446684712,187299.40095924117,264356.9479744531
2024-06-07 00:00:00+00:00,220909.48565272932,182378.7637752897,259440.20753016893
2024-06-08 00:00:00+00:00,191124.64593812413,152592.4459329713,229656.84594327695
2024-06-09 00:00:00+00:00,180263.4482054477,141730.1268089926,218796.7696019028
2024-06-10 00:00:00+00:00,219659.04032401685,181119.83918270597,258198.24146532774
2024-06-11 00:00:00+00:00,225009.58128715807,186465.91988668934,263553.2426876268
2024-06-12 00:00:00+00:00,226112.8176462211,187565.77267099693,264659.86262144527
2024-06-13 00:00:00+00:00,225828.1744676235,187278.56263271833,264377.78630252864
2024-06-14 00:00:00+00:00,220909.48565340557,182357.92650185886,259461.04480495228
2024-06-15 00:00:00+00:00,191124.64593871316,152571.60945838474,229677.68241904158
2024-06-16 00:00:00+00:00,180263.44820596077,141709.2909404039,218817.60547151763
2024-06-17 00:00:00+00:00,219659.04032446374,181099.00649120676,258219.07415772072
2024-06-18 00:00:00+00:00,225009.5812875473,186445.08960461445,263574.0729704802
2024-06-19 00:00:00+00:00,226112.81764656014,187544.94421634517,264680.6910767751
