Date,Actual Load,Forecast
2024-05-02 00:00:00+00:00,205377.33333333334,225828.1743107386
2024-05-03 00:00:00+00:00,209535.125,220909.4855167551
2024-05-04 00:00:00+00:00,176758.41666666666,191124.64581968737
2024-05-05 00:00:00+00:00,169099.29166666666,180263.4481022865
2024-05-06 00:00:00+00:00,212025.04166666666,219659.04023416102
2024-05-07 00:00:00+00:00,217312.58333333334,225009.58120889156
2024-05-08 00:00:00+00:00,210864.0,226112.8175780491
2024-05-09 00:00:00+00:00,168172.04166666666,225828.17440824406
2024-05-10 00:00:00+00:00,183974.16666666666,220909.48560168466
2024-05-11 00:00:00+00:00,171216.66666666666,191124.64589366302
2024-05-12 00:00:00+00:00,167066.58333333334,180263.44816672103
2024-05-13 00:00:00+00:00,211187.58333333334,219659.04029028502
2024-05-14 00:00:00+00:00,219127.16666666666,225009.58125777688
2024-05-15 00:00:00+00:00,214965.41666666666,226112.81762062936
2024-05-16 00:00:00+00:00,217292.83333333334,225828.1744453325
2024-05-17 00:00:00+00:00,210211.58333333334,220909.48563398956
2024-05-18 00:00:00+00:00,176256.66666666666,191124.64592180136
2024-05-19 00:00:00+00:00,160023.91666666666,180263.44819123019
2024-05-20 00:00:00+00:00,161543.45833333334,219659.04031163306
2024-05-21 00:00:00+00:00,209050.20833333334,225009.58127637152
2024-05-22 00:00:00+00:00,213369.95833333334,226112.81763682576
2024-05-23 00:00:00+00:00,203836.91666666666,225828.17445943994
2024-05-24 00:00:00+00:00,198871.41666666666,220909.48564627746
2024-05-25 00:00:00+00:00,165387.08333333334,191124.6459325044
2024-05-26 00:00:00+00:00,163713.375,180263.4482005528
2024-05-27 00:00:00+00:00,200542.70833333334,219659.0403197533
2024-05-28 00:00:00+00:00,203436.75,225009.58128344442
2024-05-29 00:00:00+00:00,215959.16666666666,226112.81764298643
2024-05-30 00:00:00+00:00,186223.29166666666,225828.174464806
2024-05-31 00:00:00+00:00,196741.83333333334,220909.48565095145
2024-06-01 00:00:00+00:00,181309.70833333334,191124.64593657557
2024-06-02 00:00:00+00:00,177456.08333333334,180263.44820409888
2024-06-03 00:00:00+00:00,210450.75,219659.040322842
2024-06-04 00:00:00+00:00,213079.75,225009.58128613475
2024-06-05 00:00:00+00:00,220594.29166666666,226112.81764532978
2024-06-06 00:00:00+00:00,214779.08333333334,225828.17446684712
2024-06-07 00:00:00+00:00,208732.875,220909.48565272932
2024-06-08 00:00:00+00:00,178569.29166666666,191124.64593812413
2024-06-09 00:00:00+00:00,169733.54166666666,180263.4482054477
2024-06-10 00:00:00+00:00,212200.54166666666,219659.04032401685
2024-06-11 00:00:00+00:00,215174.29166666666,225009.58128715807
2024-06-12 00:00:00+00:00,217270.54166666666,226112.8176462211
2024-06-13 00:00:00+00:00,213551.20833333334,225828.1744676235
2024-06-14 00:00:00+00:00,210054.29166666666,220909.48565340557
2024-06-15 00:00:00+00:00,178511.16666666666,191124.64593871316
